2026-09-11 19:41:05,046 | INFO | src.models.train | Best candidate: logistic_regression | test metrics: {'accuracy': 0.5, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'roc_auc': 0.6666666666666667, 'confusion_matrix': [[2, 1], [1, 0]]}
2026-09-11 19:41:05,047 | INFO | src.models.registry | Saved model version v20260911_194105 (logistic_regression) to /tmp/pytest-of-root/pytest-5/test_pipeline_end_to_end0/models_registry/v20260911_194105
2026-09-11 19:41:05,047 | INFO | src.models.registry | Promoted model version v20260911_194105 to production
2026-09-11 19:41:05,047 | INFO | src.models.train | Model v20260911_194105 promoted to production.
2026-09-11 19:41:05,057 | INFO | src.data.ingestion | Ingested sample_appointments.csv: 25 raw rows, 25 valid, 0 errors
2026-09-11 19:41:05,058 | INFO | src.data.preprocessing | Deduplication removed 0 rows
2026-09-11 19:41:05,061 | INFO | src.data.preprocessing | Preprocessing complete: 25 rows remain
2026-09-11 19:41:05,067 | INFO | src.features.feature_engineering | Engineered features: 25 rows, 24 columns
2026-09-11 19:41:05,076 | INFO | src.models.train | Applied SMOTE (k_neighbors=4): 17 -> 24 training rows
2026-09-11 19:41:05,076 | INFO | src.models.train | Training candidate: logistic_regression
2026-09-11 19:41:05,125 | INFO | src.models.train | logistic_regression val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:05,125 | INFO | src.models.train | Training candidate: decision_tree
2026-09-11 19:41:05,210 | INFO | src.models.train | decision_tree val metrics: {'accuracy': 0.75, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [1, 0]]}
2026-09-11 19:41:05,210 | INFO | src.models.train | Training candidate: random_forest
2026-09-11 19:41:06,305 | INFO | src.models.train | random_forest val metrics: {'accuracy': 0.75, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [1, 0]]}
2026-09-11 19:41:06,305 | INFO | src.models.train | Training candidate: xgboost
2026-09-11 19:41:06,495 | INFO | src.models.train | xgboost val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:06,495 | INFO | src.models.train | Training candidate: svm
2026-09-11 19:41:06,538 | INFO | src.models.train | svm val metrics: {'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'roc_auc': 1.0, 'confusion_matrix': [[3, 0], [0, 1]]}
2026-09-11 19:41:06,545 | INFO | src.models.train | Best candidate: logistic_regression | test metrics: {'accuracy': 0.5, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'roc_auc': 0.6666666666666667, 'confusion_matrix': [[2, 1], [1, 0]]}
2026-09-11 19:41:06,546 | INFO | src.models.registry | Saved model version v20260911_194106 (logistic_regression) to /tmp/pytest-of-root/pytest-5/models_registry0/v20260911_194106
